accident_id,original_location,method,reason,latitude,longitude,matched_name
3655,Conness,mountains_db,,37.8651,-119.5383,Conness
3656,,skipped,no location text,,,
3659,,no_match,no suitable match found,,,
3660,m a Wilderness,no_match,no suitable match found,,,
3661,,skipped,no location text,,,
3665,take.,routes_db,,36.3956,-80.2628,take.
3666,just outside of Kings Canyon National Park,no_match,no suitable match found,,,
3670,,skipped,no location text,,,
3671,Protection Pulled Out McDowell Mountain,no_match,no suitable match found,,,
3672,Pitchoff,mountains_db,,43.2994,-74.2179,Pitchoff
3758,Lake Mead National Recreation Area,no_match,no suitable match found,,,
3860,Big South Fork National River and Recreation Area,no_match,no suitable match found,,,
3862,Canyonlands National Park,no_match,no suitable match found,,,
3946,Colorado National Monument,no_match,no suitable match found,,,
3998,Pictured Rocks National Lakeshore,no_match,no suitable match found,,,
4054,Guadalupe Mountains National Park,no_match,no suitable match found,,,
