mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
388,Crowder's,,,,unknown,,North Carolina,,,s Mountain State Park,1
389,Crowfoot,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
390,Cutthroat,,,,unknown,,Washington,47.7511,-120.7401,Cutthroat Peak,1
391,Cerberus,,,,unknown,,Utah,37.2982,-113.0263,Zion National Park,1
392,Cesaire,,,,unknown,,Quebec,,,plus two instructors from the Quebec Mountain,1
393,Chair in the Morning Glory,,,,unknown,,Oregon,44.3672,-121.1406,s Chair in the Morning Glory Wall area of Smith Rock State Park,1
394,Whitehorse,,,,unknown,,Washington,47.7511,-120.7401,Whitehorse Mountain,1
395,Whiteside,,,,unknown,,,,,Whiteside Mountain,1
396,Whitesides,,,,unknown,,North Carolina,,,Whitesides Mountain,1
397,Twin Owls,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
398,Balfour,,,,unknown,,Alberta,51.5667,-116.4333,Banff National Park,1
399,Bancroft,,,,unknown,,Colorado,39.5501,-105.7821,in the James Peak Wilderness,1
400,Baron,,,,unknown,,Idaho,,,Sawtooth Mountain,1
401,Barrier,,,,unknown,,Alberta,,,Barrier Mountain,1
402,Table,,,,unknown,,Wyoming,43.7904,-110.6818,Grand Teton National Park,1
403,Tammay,,,,unknown,,Delaware,,,Head Wall,1
404,Tantalus,,8540.0,5810.0,peak,Coast Mountains,British Columbia,53.7267,-127.6476,Coast Mountains,1
405,Tattoo,,,,unknown,,,,,Tattoo Wall,1
406,Taylor,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
407,Tectonic,,,,unknown,,,,,Tectonic Wall,1
408,Terminal,,,,unknown,,British Columbia,50.2667,-117.2833,Selkirk Mountain,1
409,Terror,,,,unknown,,Washington,47.7511,-120.7401,,1
410,Willard,,,,unknown,,,,,and members of Mountain,1
411,Victory,,,,unknown,,,,,Victory Wall,1
412,Vittles,,,,unknown,,,,,Vittles Wall,1
413,Waddington,,13186.0,9515.0,peak,Coast Mountains,British Columbia,51.3731,-125.2631,Coast Mountain,1
414,Vesper,,,,unknown,,Washington,47.7511,-120.7401,Vesper Peak,1
415,Warbonnet,,,,unknown,,Colorado,39.5501,-105.7821,Warbonnet Peak,1
416,Wardle,,,,unknown,,British Columbia,40.3428,-105.6836,Rocky Mountain,1
417,Warren,,,,unknown,,Wyoming,43.076,-107.2903,,1
418,Wasington,,,,unknown,,Washington,47.7511,-120.7401,,1
419,Billy,,,,unknown,,British Columbia,50.2667,-117.2833,Selkirk Mountain,1
420,Two-Pitch,,,,unknown,,,35.2095,-81.2981,"Protection Pulled Out 
Crowders Mountain State Park",1
421,Tyndall Glacier in Rocky,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
422,Upper Town,,,,unknown,,Washington,47.7511,-120.7401,Upper Town Wall,1
423,Avalon,,,,unknown,,Colorado,40.015,-105.405,Boulder Canyon,1
424,Throne,,,,unknown,,Alberta,52.8734,-117.9543,Jasper National Park,1
425,Thunder Bolt,,,,unknown,,California,36.7783,-119.4179,Thunder Bolt Peak,1
426,Engineer,,,,unknown,,Colorado,39.5501,-105.7821,Engineer Mountain,1
427,Erie,,,,unknown,,Washington,47.7511,-120.7401,,1
428,Wrangell-St,,,,unknown,,Alaska,64.2008,-149.4937,Fall into Crevasse while Ski Mountain,1
429,Wright,,,,unknown,,Vermont,44.5588,-72.5778,Adirondack High Peak,1
430,Abraham,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
431,Bald,,,,unknown,,Maine,,,Bald Mountain,1
432,Barrill,,,,unknown,,Alaska,63.1148,-151.1926,Denali National Park,1
433,Barrille,,,,unknown,,Alaska,63.1148,-151.1926,Denali National Park,1
434,Batman Rock Rocky,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
435,Beauty,,,,unknown,,Virginia,,,Beauty Mountain,1
436,Beckey's,,,,unknown,,Utah,39.321,-111.0937,Little Cottonwood Canyon,1
437,Belayer Pulled Into,,,,unknown,,,,,Belayer Pulled Into Wall,1
438,Bell,,,,unknown,,,51.4968,-115.9281,Banff National Park,1
439,Biddle,,,,unknown,,British Columbia,51.45,-116.5,Yoho National Park,1
440,Whittle,,,,unknown,,Colorado,39.9311,-105.2928,Eldorado Canyon State Park,1
441,Wicked Gravity,,,,unknown,,,,,Wicked Gravity Wall,1
