mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
mt_3a0e309f,Kerkeslin,,,,unknown,,Alberta,52.8734,-117.9543,Jasper National Park,1
mt_dfbe5a6b,Kidd's,,,,unknown,,,,,,1
mt_b2086154,King,,,,unknown,,,,,Quebec Mountain,1
mt_e33c8752,Haig,,,,unknown,,,,,,1
mt_6ed756dc,Hayes,,,,unknown,,Alaska,48.7596,-113.787,Glacier,1
mt_a1cae1a6,Haystack,,,,unknown,,New York,43.2994,-74.2179,,1
mt_f39c6ad8,Henley,,,,unknown,,Missouri,,,Henley Wall,1
mt_934ae8ad,Heyburn,,,,unknown,,Idaho,,,route on Sturs Chimney on Mount Heyburn in the Sawtooth Wilderness,1
mt_839f9477,High Wire,,,,unknown,,Colorado,39.7528,-105.3614,Clear Creek Canyon,1
mt_819bc845,Hudson Bay,,,,unknown,,British Columbia,,,Coast Mountain,1
mt_02f9849e,Humboldt,,,,unknown,,Colorado,39.5501,-105.7821,San de Cristo Mountain,1
mt_52f26f6b,Hungabee,,,,unknown,,,51.3167,-116.2667,Yoho National Park,1
mt_6a992d55,Index,,5979.0,3179.0,peak,Cascade Range,Washington,47.8215,-121.5562,Everett Mountain,1
mt_0a6efc83,Index Town,,,,unknown,,Washington,47.7511,-120.7401,Index Town Wall,1
mt_15d70007,International,,,,unknown,,British Columbia,50.5,-116.5,Purcell Mountain,1
mt_ba89bfde,Ishbel,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
mt_196c46a4,Itso,,,,unknown,,Alaska,64.2008,-149.4937,,1
mt_ce39c87a,Jackson Hole,,,,unknown,,Wyoming,43.7904,-110.6818,Grand Teton National Park,1
mt_a0ef6bbb,Fable,,,,unknown,,Alberta,,,,1
mt_01c40ac1,Face of Petit Grepon in Rocky,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
mt_0f1ec610,Fall From Artificial,,,,unknown,,Washington,47.7511,-120.7401,Fall From Artificial Wall,1
mt_f0b533ec,Fall on Artificial Rock,,,,unknown,,Colorado,39.5501,-105.7821,Fall on Artificial Rock Wall,1
mt_12e9bb3e,Fern Creek Party,,,,unknown,,Virginia,,,trad route located on the Fern Creek Party Wall,1
mt_3a89f63e,Feudal,,,,unknown,,California,36.7783,-119.4179,Feudal Wall,1
mt_6638070b,Canon,,,,unknown,,New Hampshire,43.1939,-71.5724,Canon Mountain,1
mt_7513de00,Cantata,,,,unknown,,Alaska,64.2008,-149.4937,Cantata Peak,1
mt_27f08504,Capital,,,,unknown,,Colorado,39.5501,-105.7821,Capital Peak,1
mt_9714f1bd,Carmel,,,,unknown,,Utah,39.321,-111.0937,Pine Creek Canyon,1
mt_6d274e1c,McKinely,,,,unknown,,Alaska,64.2008,-149.4937,a client of a guided Rainier Mountain,1
mt_bb441b7f,Meader,,,,unknown,,New Hampshire,43.1939,-71.5724,,1
mt_a7b49688,Lake Drainage of Red Slate,,,,unknown,,California,36.7783,-119.4179,The third involved a couple climbing in the Convict Lake Drainage of Red Slate Mountain,1
